DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
28-Apr-2026,EQ,"2,444.00","2,487.00","2,427.40","2,447.60","2,450.70","2,444.70","2,452.87","3,630.50","2,346.20","45,08,363","11,05,84,22,250.70","2,02,414"
27-Apr-2026,EQ,"2,396.90","2,459.00","2,396.90","2,396.90","2,448.00","2,447.60","2,439.56","3,630.50","2,346.20","58,53,425","14,27,98,01,556.70","2,26,406"
24-Apr-2026,EQ,"2,488.00","2,505.00","2,388.80","2,521.80","2,401.00","2,396.90","2,426.09","3,630.50","2,346.20","51,07,719","12,39,18,09,512.40","3,00,607"
23-Apr-2026,EQ,"2,529.00","2,559.50","2,516.30","2,538.50","2,518.20","2,521.80","2,538.03","3,630.50","2,346.20","25,09,050","6,36,80,42,336.20","1,16,013"
22-Apr-2026,EQ,"2,580.00","2,580.00","2,503.60","2,610.50","2,535.30","2,538.50","2,543.73","3,630.50","2,346.20","52,32,045","13,30,89,11,672.10","2,34,440"
21-Apr-2026,EQ,"2,560.00","2,614.00","2,560.00","2,579.60","2,609.90","2,610.50","2,596.45","3,630.50","2,346.20","27,19,959","7,06,22,45,701.10","1,26,132"
20-Apr-2026,EQ,"2,587.10","2,594.00","2,561.20","2,581.50","2,575.90","2,579.60","2,581.08","3,630.50","2,346.20","22,88,558","5,90,69,41,172.80","1,24,006"
17-Apr-2026,EQ,"2,570.00","2,589.00","2,555.90","2,576.90","2,583.60","2,581.50","2,577.98","3,630.50","2,346.20","27,18,206","7,00,74,72,973.50","1,31,272"
16-Apr-2026,EQ,"2,572.00","2,594.00","2,558.00","2,554.90","2,573.00","2,576.90","2,575.26","3,630.50","2,346.20","39,05,403","10,05,74,27,039.80","1,74,580"
15-Apr-2026,EQ,"2,501.90","2,559.00","2,493.40","2,472.60","2,552.80","2,554.90","2,542.02","3,630.50","2,346.20","52,61,384","13,37,45,54,360.50","1,86,444"
13-Apr-2026,EQ,"2,489.90","2,504.90","2,470.00","2,524.30","2,470.70","2,472.60","2,480.40","3,630.50","2,346.20","37,39,587","9,27,56,88,865.00","1,52,183"
10-Apr-2026,EQ,"2,565.80","2,565.80","2,501.10","2,589.00","2,523.00","2,524.30","2,522.67","3,630.50","2,346.20","1,04,80,239","26,43,82,19,057.00","3,73,922"
09-Apr-2026,EQ,"2,554.00","2,605.00","2,531.10","2,559.20","2,590.00","2,589.00","2,577.84","3,630.50","2,346.20","56,28,261","14,50,87,58,087.80","2,18,190"
08-Apr-2026,EQ,"2,572.00","2,580.30","2,540.10","2,539.80","2,561.10","2,559.20","2,557.13","3,630.50","2,346.20","47,69,337","12,19,58,04,701.30","2,36,001"
